title,link,desc
Apple MacBook Air MJVE2CH/A 13.3英寸笔记本电脑,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/126491712.html
联想(LENOVO)G510AM 15.6英寸笔记本电脑（I5-4210M 4G 500G硬盘 2G独显 WIN8 黑色）,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/121321891.html
联想(Lenovo)G50-80 15.6英寸笔记本电脑（I7-5500U 4G 500G硬盘 2G独显 Win10 黑色),"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/133466842.html
,,http://product.suning.com/125315905.html
华硕（ASUS）FX Plus 15.6英寸游戏本电脑（I7-4720HQ 8G 128GSSD+1T GTX950M 4G独显 WIN10 黑）,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/136995544.html
,,http://product.suning.com/126864346.html
【套餐】惠普(HP) HP15-ac601TX 15.6英寸笔记本,,http://product.suning.com/940001343.html
【套餐】惠普(HP) HP15-ac601TX 15.6英寸笔记本+吉选 WM1001 可充电静音无线鼠标黑色,,http://product.suning.com/945000317.html
【套餐】惠普(HP) HP15-ac601TX 15.6英寸笔记本+罗技（Logitech）M100r有线鼠标 白色,,http://product.suning.com/945000313.html
惠普(HP) HP15-ac601TX 15.6英寸笔记本(i7-6500U 4G 500GB FHD),"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/139089221.html
联想（Lenovo）小新出色版I2000 14英寸笔记本电脑（i7-5500U4G 8G SSHD+500G 慕斯白,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/129606132.html
联想（Lenovo）G50-70 15.6英寸笔记本（I5-4288U 4G内存 500G硬盘 2G独显 黑色 ）,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/132771845.html
联想（Lenovo）G50-80 15.6英寸笔记本电脑（I7-5500U 4G内存 500G 2G独显 Win10）黑色,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/137323332.html
,,http://product.suning.com/126170800.html
,,http://product.suning.com/124399069.html
联想（Lenovo）U31-70 13.3英寸笔记本电脑（I5-5200U 4G内存 128G固态硬盘 Win10）象牙白,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/135229251.html
【套餐】联想（Lenovo）天逸100+电脑包套餐,,http://product.suning.com/945000728.html
联想（Lenovo）天逸100 14英寸笔记本电脑（I5-5200U 4G内存 500G 1G独显 DVD Win10）黑色,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/140872705.html
【套餐】Apple MacBook Pro MF839CH/A+Beats Studio Wireless 录音师耳机红,,http://product.suning.com/945000190.html
Apple MacBook Pro MF839CH/A 13.3英寸宽屏笔记本电脑,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/126491128.html
华硕（ASUS）FX50 15.6英寸游戏本电脑（I7-4720HQ 4G 5400转1T GTX950M 2G独显 Win10 黑）,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/136436859.html
,,http://product.suning.com/126882056.html
Apple MacBook Air MJVM2CH/A 11.6英寸笔记本电脑,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/126491434.html
Apple MacBook Pro MF840CH/A 13.3英寸宽屏笔记本电脑,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/126491129.html
华硕(ASUS)笔记本UX501J4720-1B8AXC54X20 128G固态+1TB硬盘 8G内存 GTX960M独,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/127567929.html
华硕（ASUS） VM510LF5500 游戏笔记本电脑 酷睿I7 4G 1TB GT930M 2G独显 高清,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/141615258.html
【套餐】联想（Lenovo）G40-80+电脑包套餐,,http://product.suning.com/945000730.html
联想（Lenovo）G40-80 14英寸笔记本电脑（I5-5200U 4G内存 500G硬盘 2G独显 Win10）黑色,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/133467510.html
华硕（ASUS）F554LI 15.6英寸笔记本电脑（I5-5200U 4G 500G 2G R5-M320 Win8 黑色）,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/133515768.html
【套餐】华硕（ASUS）F454LJ+电脑包套餐,,http://product.suning.com/945000735.html
华硕（ASUS）F454LJ 14英寸笔记本电脑（I5-5200U 4G 500G 2G GT920M Win10 黑色）,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/136466913.html
联想（Lenovo）U31-70 13.3英寸笔记本电脑（I5-5200U 4G内存 128G固态硬盘 Win10）蔷薇红,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/138161431.html
,,http://product.suning.com/126269726.html
联想(Lenovo) 小新700旗舰版15.6英寸笔记本电脑（四核I7-6700HQ 4G 500G 2G Win10),"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/141235934.html
三星（SAMSUNG）500R4K-X03CN 14英寸笔记本电脑（i5-5200U 4G 500G GT920M/2G Win10）白,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/134198427.html
【套餐】戴尔Ins15MR-4528SS笔记本电脑 +旅之星1T移动硬盘,,http://product.suning.com/940001218.html
【套餐】戴尔Ins15MR-4528SS笔记本电脑+雷柏(Rapoo) M17无线光学鼠标 白色,,http://product.suning.com/940001213.html
,,http://product.suning.com/125228494.html
华硕官方旗舰店：华硕(ASUS)VM510LF5500笔记本电脑（i7-5500 4G 1TB GT930M显卡2G),"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/140799251.html
华硕（ASUS） VM510LF5500 游戏笔记本电脑 酷睿I7 8G 128G固态+1TB GT930M 高清,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/141615260.html
戴尔（DELL）Ins15CR-1328B灵越 飞匣3000系列15.6英寸笔记本电脑(I3-4005U 4G 500G 2G独显 WIN8 黑色),"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/123099793.html
【套餐】戴尔(DELL)Ins14CR-4116B 14英寸笔记本+雷柏M17无线光标鼠标,,http://product.suning.com/940001219.html
,,http://product.suning.com/126733849.html
华硕(ASUS) K455LJ5200 14英寸笔记本 5代I5-5200U 4G 500G GT920 2G 黑,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/139789219.html
【套餐】戴尔(DELL)Vostro14-3445R-1827BB+电脑包套餐,,http://product.suning.com/945000727.html
【套餐】戴尔(DELL)Vostro14-3445R-1827BB14英寸笔记本+旅之星travelstar移动硬盘1T,,http://product.suning.com/940001227.html
【套餐】戴尔(DELL)Vostro14-3445R-1827BB 14英寸笔记本电脑+闪迪 8g u盘,,http://product.suning.com/940001224.html
戴尔(DELL)Vostro14-3445R-1827BB 14英寸笔记本电脑(A8-6410 4G 500G 2G独显),"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/136445067.html
,,http://product.suning.com/124727972.html
Apple MacBook Pro MF839ZP13.3英寸宽屏笔记本电脑 海外购,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/142331430.html
华硕笔记本W519LI5200-554KSCA2XC0,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/140939434.html
联想（Lenovo）天逸100 15.6英寸笔记本电脑（I3-5005U 4G内存 500G 1G独显 DVD Win10）黑色,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/136370067.html
【套餐】戴尔(DELL)Vostro14-3445R-1827RR14英寸笔记本电脑+吉选KM830 U+U有线键鼠套装,,http://product.suning.com/940001231.html
【套餐】戴尔(DELL)Vostro14-3445R-1827RR14英寸笔记本+旅之星travelstar移动硬盘1T,,http://product.suning.com/940001228.html
【套餐】戴尔(DELL)Vostro14-3445R-1827RR 14英寸笔记本电脑+闪迪 8g u盘,,http://product.suning.com/940001225.html
戴尔(DELL)Vostro14-3445R-1827RR 14英寸笔记本电脑(A8-6410 4G 500G 2G独显),"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/136445757.html
ThinkPad E450(20DCA05MCD)14英寸笔记本电脑（i5-4300U 4G 500G 2G独显）,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/139637993.html
,,http://product.suning.com/127058540.html
联想(Lenovo)小新700旗舰版ISK 15.6英寸超薄游戏本（四核i5-6300HQ 4G 500G 2G独显),"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/143244208.html
,,http://product.suning.com/125601610.html
,,http://product.suning.com/126986039.html
Vostro 14-5480R-5628SS 14英寸笔记本电脑,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/141535842.html
,,http://product.suning.com/125481023.html
ThinkPad E460(20ETA00DCD) 14英寸笔记本电脑（i5-6200U 4G 500G 2G独显 Win 10）,"4999.,限时促销,商家承担关税,定金：",http://product.suning.com/139642845.html
【套餐】惠普(HP) HP15-ac196TX 15.6英寸笔记本,,http://product.suning.com/940001350.html
